3,356268.2128989842,false
2,780425.3593676045,false
1,227011.38530517544,false
4,308350.5325337915,false
5,550184.0277691119,false
6,273918.7151408892,false
7,480130.5087476847,false
10,550291.82820307,false
9,418759.0766764794,false
8,392856.2393029409,false
11,580118.2708561843,false
13,564537.2303182284,false
12,300105.2556063213,false
14,353514.5053775861,false
15,425672.7639071794,false
16,342804.6112199015,false
17,322369.49825240765,false
18,247726.62425780113,false
19,295762.808483924,false
20,301934.15959628375,false
